"排名","代號 ▲","名稱","成交","漲跌價","漲跌幅","平均增減(元)","2005增減(元)","2006增減(元)","2007增減(元)","2008增減(元)","2009增減(元)","2010增減(元)","2011增減(元)","2012增減(元)","2013增減(元)","2014增減(元)","2015增減(元)","2016增減(元)","17Q2增減(元)","17Q3增減(元)"
"208",="1231","聯華食","33.4","+0.2","+0.6%","+0.22","+0.01","-0.03","+0.28","+0.15","+0.18","+1.62","+0.37","-0.02","-0.41","-1.09","+0.91","+0.66","-0.42",""
"383",="1232","大統益","91.2","-0.4","-0.44%","+0.35","+0.66","+0.33","+0.82","-0.28","+0.75","+0.51","-0.52","-0.9","+1.65","+1.75","-0.47","-0.12","","-0.17"
"524",="1233","天仁","34.5","+0.05","+0.15%","0","-0.29","+0.06","-0.21","+0.17","+0.28","+0.38","+0.27","-0.03","-0.01","-0.01","-0.23","-0.44","-0.08",""
"229",="1234","黑松","31.1","0","0%","+0.22","+0.1","+0.03","+0.07","+0.11","+0.21","+0.02","+0.11","+14.4","-14.5","+0.34","+0.56","+1.21","-1.5",""
"1240",="1235","興泰","33.25","+0.35","+1.06%","+0.19","-0.93","-0.29","+1.39","-1.47","+0.05","-0.04","+0.06","-0.08","-1.11","+1.81","-0.17","+3.01","-0.61",""
"1078",="1236","宏亞","16.85","-0.05","-0.3%","-0.09","+0.42","-1.57","+1.13","-0.17","+0.48","-0.45","+0.25","-0.55","-0.02","+0.29","-0.61","-0.25","","-0.32"
"879",="1256","鮮活果汁-KY","144","+2.5","+1.77%","+0.7","","","","","","","+1.39","+0.12","+6.61","-2.42","-2.09","+0.59","","+1.68"
"654",="1258","其祥-KY","32.45","+0.15","+0.46%","-0.15","","","","","","","-1.54","-3.17","+1.7","+1.03","+1.06","+0.04","-0.88",""
"753",="1259","安心","83.7","+0.9","+1.09%","-0.42","","","","","","","-0.81","-3.94","-0.71","+0.41","+1.19","+1.32","-0.31",""
"1119",="1262","綠悅-KY","72.5","+1.6","+2.26%","-108","","","","","","","","+402","-944","+0.18","+0.11","+1.78","-1.61",""
"474",="1264","德麥","222.5","0","0%","+0.82","","","","","","","","","+0.76","-0.6","+1.91","+1.21","-0.24",""
"717",="1268","漢來美食","160.5","-1.5","-0.93%","+1.17","","","","","","","","","","","","+1.17","",""
"468",="1301","台塑","92.1","0","0%","-0.08","-1.15","-0.58","+2.96","-4.91","+1.05","+2.94","-1.6","-3.44","+0.85","-0.42","+2.02","+1.34","+0.58",""
"292",="1303","南亞","74.6","-0.1","-0.13%","-0.01","-0.83","+0.83","+1.52","-6.52","+0.86","+3.13","-2.27","-2.41","+2.65","+0.82","+0.49","+1.66","+0.78",""
"554",="1304","台聚","15.55","+0.2","+1.3%","-0.02","-0.4","-0.11","+1.19","-1.91","+2.68","+0.84","-0.11","-1.91","-0.81","-0.17","+0.23","+0.3","-0.2",""
"140",="1305","華夏","27.6","+0.7","+2.6%","+0.08","-3.31","+1.46","-0.04","-0.89","+1.99","-1.2","-0.23","+2.1","-0.21","-1.42","+1.39","+1.38","+0.05",""
"250",="1307","三芳","34.95","-0.25","-0.71%","+0.15","+0.07","+0.36","+0.31","+0.74","+0.18","+0.16","-1.18","+0.04","+0.19","+0.4","+0.26","+0.28","-0.13",""
"523",="1308","亞聚","19.4","+0.3","+1.57%","-0.06","-0.8","+0.13","+1.6","-1.71","+2.48","+0.86","-0.5","-2.82","-0.18","-0.08","+0.02","+0.24","+0.03",""
"1241",="1309","台達化","11.65","+0.5","+4.48%","-0.03","-0.48","+0.17","+0.38","-6.31","+7.46","-0.04","-1.02","-1.06","+0.24","-1.98","+2.14","+0.16","-0.11",""
"31",="1310","台苯","21.15","+0.85","+4.19%","+0.12","-2.16","+1.52","+0.17","-2.61","+3.22","-1.32","-1.44","+0.51","+3.04","-2.23","+1.38","+1.36","-0.18",""
"694",="1312","國喬","25.95","+2.35","+9.96%","+0.09","-1.16","+1","+0.42","-5.1","+6.59","-1","-1.08","+0.69","+0.23","-1.84","+1.31","+1.03","","+0.81"
"406","1312A","國喬特","29.9","+0.55","+1.87%","","","","","","","","","","","","","","",""
"470",="1313","聯成","17.05","+0.15","+0.89%","-0.02","-0.26","+1.44","+0.11","-2.41","+1.68","+0.92","-1.66","+0.08","-0.56","-0.73","+0.06","+1.11","+0.19",""
"1242",="1314","中石化","13.65","+0.2","+1.49%","-0.1","+0.29","+0.34","+0.65","-3.48","+2.93","+2.37","+2.01","-4.92","-1.23","+0.75","-0.09","-0.85","+2.46",""
"601",="1315","達新","25.7","0","0%","+0.06","+0.31","+0.06","+0.34","-0.06","-1","+0.46","+1.96","-2.19","+0.06","+0.34","+0.18","+0.25","-0.19",""
"1243",="1316","上曜","25.85","-0.1","-0.39%","-0.06","-0.63","+1.29","-0.48","-0.48","+0.43","-0.42","-0.65","-1.03","-0.38","+2.07","-0.55","+0.09","","+0.33"
"744",="1319","東陽","58.5","+0.8","+1.39%","+0.08","-0.29","-1.22","+0.83","-1.18","+2.25","-0.97","-0.37","-0.73","+0.87","-0.74","+1.33","+1.21","-0.06",""
"1244",="1321","大洋","28.7","+0.05","+0.17%","-0.17","+0.25","-2.3","-0.93","-0.16","+1.56","-0.97","-0.15","+0.18","+0.64","-0.72","+0.83","-0.24","","-0.33"
"389",="1323","永裕","33","+0.1","+0.3%","+0.18","-0.73","+0.42","+0.33","-0.17","+0.7","+0.88","-0.38","+0.26","+0.51","+0.24","-0.46","+0.56","","-0.4"
"863",="1324","地球","13.3","+0.15","+1.14%","+0.04","+0.1","-0.64","-0.31","+0.94","+0.58","-0.27","+0.15","-0.45","+0.08","-0.01","+0.2","+0.09","+0.3",""
"621",="1325","恆大","19.1","+0.05","+0.26%","+0.15","+1.1","-0.04","+0.83","+0.37","+0.41","-0.38","-0.38","-0.47","-0.02","-0.14","+0.42","+0.16","-0.5",""
"300",="1326","台化","93.4","+0.2","+0.21%","-0.08","-1.03","-1.55","+2.75","-7.53","+4.09","+3.14","-2.52","-4.56","+3","-2.45","+2.92","+2.78","","+0.56"
"1245",="1333","恩得利","3.95","+0.11","+2.86%","-0.25","+0.28","-3.48","-0.16","-8.33","+6.99","+1.24","-1.08","+0.21","+0.36","-0.72","+0.63","+1.09","-0.61",""
"1246",="1336","台翰","18.7","-0.15","-0.8%","-0.7","","+0.54","-1.92","-3.23","-2.26","+1.51","-0.2","-0.79","+0.93","-0.74","-1.74","+0.22","+2.04",""
"1216",="1337","再生-KY","13","+0.1","+0.78%","-1.11","","","","","","","+1.15","-0.11","-2.81","-1.9","-3.04","+0.03","","-0.8"
"772",="1338","廣華-KY","115","0","0%","+1.11","","","","","","+7.77","+0.99","-4.22","+0.91","+1.91","+1.26","-0.87","","+0.89"
"536",="1339","昭輝","43.7","-0.5","-1.13%","+0.42","","","","","","","+1.2","-0.21","+0.7","+1.24","+0.03","-0.47","-0.13",""
"543",="1340","勝悅-KY","48.35","+0.6","+1.26%","+0.03","","","","","","","","+1.31","+1.26","+0.52","-3.09","+0.17","","-1.17"
"845",="1402","遠東新","25.7","+0.15","+0.59%","-0.1","-0.39","-0.12","+0.62","-1.53","+0.73","+0.96","-0.44","-0.53","-0.23","+0.75","-0.64","-0.35","+0.06",""
"968",="1409","新纖","9.95","+0.19","+1.95%","+0.01","-0.34","+0.06","+0.34","-0.51","+0.49","+0.77","-0.5","-0.16","+0.1","+0.16","-0.35","0","-0.01",""
"287",="1410","南染","23.9","-0.1","-0.42%","+0.14","-0.22","+0.27","+0.15","-0.1","-0.21","+1.17","+0.05","+0.22","-0.2","+0.13","+0.43","-0.01","-0.23",""
"1247",="1413","宏洲","9.07","+0.04","+0.44%","-0.03","-1.22","+0.62","+0.85","-1.22","-0.1","+1.95","-1.29","-1.03","-0.16","-0.67","+2.47","-0.5","","+0.79"
"868",="1414","東和","6.71","+0.19","+2.91%","+0.04","-1.49","+1.75","+0.38","-1.17","-0.29","+3.41","+3.31","-4.96","+0.2","-0.41","-0.18","-0.04","","+0.52"
"4",="1416","廣豐","20","0","0%","+0.4","-0.3","+0.6","-0.08","-0.52","+0.55","+0.53","+0.04","+2.44","-2.92","+1.49","-1.81","+4.82","-3.35",""
"1248",="1417","嘉裕","4.85","0","0%","+0.03","-1.02","+1.42","+0.5","0","+0.13","+0.14","+0.27","-0.22","-0.41","+0.04","-1.09","+0.56","-0.51",""
"1249",="1418","東華","4.23","+0.16","+3.93%","-0.11","-2.34","+1.79","-0.74","-2.11","+6.35","-3.04","+0.68","-1.99","+0.6","-0.31","-0.14","-0.01","-0.77",""
"1162",="1419","新紡","41","-0.5","-1.2%","+0.01","+0.28","-0.33","-0.13","-0.14","+0.31","+0.43","+0.06","-0.24","-0.04","-0.2","+0.04","+0.13","-0.13",""
"1250",="1423","利華","7.71","+0.01","+0.13%","+0.02","+0.04","+0.4","+0.88","-2.32","+1.54","-0.37","+0.38","-0.86","+0.55","-0.41","+0.22","+0.24","+0.11",""
"1251",="1432","大魯閣","14.35","+0.15","+1.06%","+0.14","-3.33","+3.92","+5.79","-4.88","-0.25","+10.9","-9.18","+6.23","-7.45","0","+0.13","-0.11","-1.28",""
"481",="1434","福懋","30.7","+0.1","+0.33%","+0.06","+0.25","+0.47","+2.36","-2.59","-1.74","+2.38","-1.19","+0.19","-0.16","+0.82","-0.41","+0.39","","+0.44"
"1252",="1435","中福","5.48","0","0%","+0.07","+0.99","-5.39","+5.51","-0.25","-0.29","+2.96","-2.66","+0.04","-0.1","+0.08","-0.02","-0.02","+0.07",""
"985",="1436","華友聯","41.8","+0.1","+0.24%","+0.07","+0.2","+0.41","-0.5","-0.1","+0.18","+0.92","+2.35","-3.72","+0.37","+5.53","-5.9","+1.12","+0.92",""
"893",="1437","勤益控","17.5","0","0%","+0.1","-3.48","+4.42","-0.89","-2.28","+1.46","+0.56","-1.4","+0.68","-2.9","+3.9","-0.8","+1.93","-0.74",""
"1253",="1438","裕豐","5.05","-0.05","-0.98%","+0.09","+0.55","+0.09","-0.14","+0.08","+0.2","+5.98","-5.18","-0.28","+0.17","-0.25","+0.07","-0.18","","-0.01"
"958",="1439","中和","19.6","-0.05","-0.25%","0","-0.28","-0.77","+0.86","+0.13","+0.07","+21.4","-22.6","+0.78","+0.11","-0.01","0","+0.27","+0.02",""
"987",="1440","南紡","13.5","+0.05","+0.37%","-0.02","-0.55","+0.29","+0.84","-1.3","+0.8","+1.1","-1.39","+0.08","+0.33","-0.47","+0.46","-0.4","","+0.09"
"1254",="1441","大東","7.33","+0.07","+0.96%","-0.16","-0.41","+0.91","-0.17","-1.31","+0.14","+3.79","-0.52","-1.85","-0.23","-2.03","+1.24","-1.43","-0.55",""
"26",="1442","名軒","18.2","+0.1","+0.55%","+0.16","-0.08","+1.02","0","+1.24","-0.12","+0.28","+1.55","-2.44","+4.76","-4.34","+0.48","-0.39","+0.98",""
"1255",="1443","立益","5.75","-0.03","-0.52%","-0.04","+0.1","+0.49","-1","+0.78","-0.52","+1.09","-1.58","-0.79","+1.68","-0.9","+0.62","-0.45","-0.05",""
"1256",="1444","力麗","10.9","+0.05","+0.46%","+0.03","-1.04","+1.32","+0.61","-0.98","+1.3","+1.19","-1.23","-0.01","-0.16","-0.48","+0.2","-0.36","-0.17",""
"762",="1445","大宇","8.5","+0.02","+0.24%","+0.09","+0.44","+0.15","-0.11","+0.38","+0.12","+0.49","-0.04","-0.58","+0.3","-0.26","+0.44","-0.2","","-0.32"
"1140",="1446","宏和","22.4","0","0%","+0.04","-3.47","+2.95","+1.66","-1.08","+0.11","-1.86","+4.57","-3.12","+0.13","+0.18","-0.38","+0.75","-0.3",""
"1257",="1447","力鵬","8.68","+0.12","+1.4%","-0.07","-0.64","+0.83","-0.54","-3.39","+4.63","+0.07","-2.03","+0.38","+1.3","-0.92","-0.4","-0.12","-0.25",""
"1258",="1449","佳和","5.43","-0.02","-0.37%","+0.01","-1.53","+1.34","+0.14","-2.3","+0.97","+1.02","+0.68","-0.74","+1.25","+1.25","-2.71","+0.69","+1.01",""
"434",="1451","年興","29","-0.4","-1.36%","-0.06","-0.27","+0.07","-0.22","-1.94","+1.89","+0.43","-1.06","+0.2","+0.25","-0.14","-0.06","+0.14","","-1.05"
"410",="1452","宏益","22.5","-0.05","-0.22%","+0.13","-0.24","+0.67","+0.2","-0.97","+1.15","+1.1","-1.16","-0.01","+0.37","+0.28","+1.49","-1.3","","+0.2"
"1259",="1453","大將","9.9","+0.9","+10%","+0.1","-4.08","+3.66","+2.5","-0.05","+0.11","-0.27","-0.39","+1.51","-1.37","-0.78","+1.16","-0.74","-0.17",""
"754",="1454","台富","8.38","0","0%","+0.04","-0.12","-0.1","+0.46","+0.03","-0.21","+0.15","+1.18","-1.41","+0.43","+0.24","+0.27","-0.39","","-0.21"
"980",="1455","集盛","12.35","+0.4","+3.35%","-0.07","-1.51","+0.76","-0.03","-2.75","+4.18","+0.12","-1.65","-0.43","+0.77","-0.51","+0.13","+0.12","","+0.13"
"1260",="1456","怡華","10.5","+0.3","+2.94%","+0.15","-0.15","+0.81","+0.5","+0.35","-1.77","+0.56","-0.42","+0.02","+0.71","-4.64","+6.57","-0.74","+0.27",""
"657",="1457","宜進","12.35","+0.05","+0.41%","+0.15","+1.13","-0.45","+0.84","-0.62","+0.8","+1.2","-2.17","+0.81","+0.7","-0.38","+1.37","-1.45","-0.19",""
"1261",="1459","聯發","8.7","+0.18","+2.11%","-0.18","-1.48","+0.88","+0.71","-2.53","+2.25","+1.48","-1.24","-1.04","+0.7","0","+0.16","-2.1","","+0.36"
"374",="1460","宏遠","14.45","-0.05","-0.34%","+0.06","-0.35","+0.05","+0.09","-1.4","+1.16","-3.25","+3.71","+0.86","-0.8","+0.32","+0.18","+0.17","-0.27",""
"13",="1463","強盛","27.15","+0.15","+0.56%","+0.26","-0.82","-0.38","-0.31","-0.53","+2.17","-0.89","+0.11","-0.4","+0.56","+0.3","-0.12","+3.44","+1.99",""
"47",="1464","得力","25.7","+0.05","+0.19%","+0.08","-3.58","+2.92","+0.42","-1.05","+1.05","-0.07","+0.14","-0.02","-0.47","+4.32","-2.74","+0.05","","-0.05"
"656",="1465","偉全","16.05","+0.1","+0.63%","+0.04","+0.88","-0.68","+0.45","-0.25","-0.21","+2.1","-1.27","-0.29","+0.25","-0.16","-0.05","-0.28","-0.05",""
"1262",="1466","聚隆","12","+0.1","+0.84%","-0.17","-2.9","+3.07","-0.2","-3.5","+3.27","+3.02","-1.67","-1.18","+0.01","-0.5","-0.45","-0.98","+0.67",""
"1263",="1467","南緯","11.05","+0.05","+0.45%","-0.08","-0.03","+0.65","-1.07","-1.52","+1.51","+0.5","-0.1","+0.15","-0.06","-0.43","-0.56","+0.06","-0.58",""
"1264",="1468","昶和","10.15","0","0%","+0.02","+0.47","-0.64","+0.25","-0.62","-0.38","-0.25","+2.88","-2.84","+1.28","-0.06","+0.03","+0.08","-0.08",""
"1265",="1469","理隆","13.85","0","0%","+0.1","+1.14","+1.07","-0.51","-1.79","+2.38","-0.24","-0.05","-0.02","-0.13","-0.06","-0.05","-0.57","-0.24",""
"860",="1470","大統染","18.2","0","0%","+0.09","+0.51","-0.48","+0.27","+0.89","-0.07","+0.04","-0.17","-0.32","+0.17","+0.43","-0.06","-0.16","-0.08",""
"1266",="1471","首利","4.92","+0.02","+0.41%","-0.24","+1.12","-3.04","+1.07","-2.06","+3.13","-1.91","+0.21","-0.99","+1.61","-0.54","-1.39","-0.13","-0.3",""
"1267",="1472","三洋紡","36","-1.15","-3.1%","+0.12","-1.11","+0.47","-0.7","-0.45","-0.09","+1.96","-2.31","+0.06","+1.38","+0.48","+0.39","+1.39","-1.13",""
"444",="1473","台南","23.3","0","0%","-0.25","-0.01","+1.03","-1.29","-2.88","+0.56","+1.58","-0.2","-2.08","+0.43","-0.65","-0.32","+0.89","-1.01",""
"435",="1474","弘裕","11.6","0","0%","-0.04","-0.58","-0.15","-0.07","-0.64","+0.26","+0.71","-0.46","-1.09","+1.13","-0.1","+0.26","+0.24","-0.12",""
"797",="1476","儒鴻","322.5","-3","-0.92%","+0.95","+0.35","-0.27","-0.32","-0.99","+0.93","+1.88","+1.77","+2.15","+3.16","+0.6","+4.48","-2.32","","-1.37"
"461",="1477","聚陽","132.5","0","0%","+0.19","-0.2","+1.81","+1.2","-5.9","+3.84","+0.11","+1.01","+0.25","+0.85","+1.6","+1.28","-3.51","-2.01",""
"870",="1503","士電","40.5","-0.3","-0.74%","+0.11","+0.23","+0.35","+0.33","-0.48","+4.26","-4.14","+0.48","-0.27","+0.41","+0.18","-0.04","0","+0.02",""
"840",="1504","東元","28.05","+0.05","+0.18%","+0.16","+1.18","+0.29","+0.2","-0.46","+0.09","+0.29","+0.16","+0.09","+0.38","+0.05","-0.46","+0.16","-0.05",""
"1268",="1506","正道","22.6","-0.3","-1.31%","-0.01","-0.21","-0.56","+0.03","-1.24","+0.5","+0.24","+1.44","-1.12","0","+0.8","+0.18","-0.12","+0.09",""
"647",="1507","永大","58.9","-1.3","-2.16%","+0.22","+0.12","+0.05","+0.65","-0.42","+0.9","+0.8","+0.31","+0.18","+0.4","+0.76","-0.42","-0.73","-0.34",""
"1269",="1512","瑞利","14.7","-0.25","-1.67%","-0.14","-0.26","-0.26","+0.25","-0.93","-0.09","+1.02","-0.31","-0.2","-0.88","-0.62","+0.47","+0.15","-0.66",""
"499",="1513","中興電","20.95","-0.2","-0.95%","-0.07","+0.31","-0.45","-0.09","-0.84","+0.15","-0.01","+0.06","-0.06","+0.09","+0.25","-0.16","-0.12","-0.21",""
"528",="1514","亞力","10.85","+0.05","+0.46%","+0.02","+0.01","+0.06","+0.05","-1.12","+0.96","+0.18","+0.04","+0.17","-0.22","+0.19","+0.04","-0.08","-0.32",""
"1200",="1515","力山","68.6","-2.6","-3.65%","-0.01","-1.52","+0.93","-0.39","-3.18","+4.09","-0.28","-0.88","+0.87","+0.79","-0.33","-0.11","-0.12","","+0.33"
"660",="1516","川飛","18.4","-0.45","-2.39%","+0.25","+2.22","+0.1","-1.94","-3.18","+4.27","+0.66","-0.54","-3.99","+4.81","+1.05","+1.67","-2.09","-0.47",""
"1106",="1517","利奇","12.25","0","0%","-0.05","-0.57","+0.85","-0.28","+0.37","-0.15","+0.55","-0.28","+0.02","+0.35","-0.51","-0.4","-0.55","-0.34",""
"698",="1519","華城","20.95","+1.9","+9.97%","+0.14","+1.4","+0.42","+2.12","+0.05","-1.56","-0.65","-0.62","-0.16","+0.17","+0.56","-0.14","+0.1","-0.15",""
"243",="1521","大億","81.8","0","0%","+0.21","-0.98","-1.45","+0.32","-1.15","+2.62","+1.64","-0.73","-0.61","+0.36","+0.88","+1","+0.62","-0.1",""
"341",="1522","堤維西","34.9","-0.2","-0.57%","+0.09","-3.34","+1.6","+1.46","-1.08","+1.28","-1.58","-0.27","-0.72","+0.77","+1.44","+0.79","+0.74","-0.09",""
"581",="1524","耿鼎","11.5","0","0%","-0.05","-1.08","+0.07","-0.31","-0.06","-0.59","-0.04","+0.27","-0.81","+0.47","+0.34","-1.1","+2.29","","-0.17"
"1004",="1525","江申","102","+0.5","+0.49%","+0.31","-0.65","-0.42","-0.57","-0.09","+1.68","+1.28","-0.24","0","-0.14","+0.32","+1.69","+0.9","","+0.37"
"1102",="1526","日馳","48.3","+3.05","+6.74%","+0.24","-1.75","+1.96","+0.42","+0.71","-0.54","+0.4","+0.44","-0.24","+0.42","+0.39","+0.36","+0.35","-0.29",""
"459",="1527","鑽全","80.7","-0.7","-0.86%","+0.09","+0.1","-1.97","-0.52","-2.81","+0.41","-0.92","+2.34","-2.01","+3.06","+2.88","+0.44","+0.13","","-2.83"
"723",="1528","恩德","13.5","-0.15","-1.1%","0","+0.67","+1.02","-0.09","-1.93","-0.1","+1.08","+0.34","-0.94","+0.11","-0.61","-0.36","+0.8","","+0.2"
"1270",="1529","樂士","3.1","0","0%","0","+0.46","-0.5","-1.1","-1.1","+0.85","-0.91","+2.43","-0.97","+0.69","+0.08","-0.47","+0.55","+0.03",""
"1028",="1530","亞崴","33","0","0%","-0.3","+0.74","+1.02","-0.22","-2.26","-3.87","+2.18","+0.18","+0.1","-0.33","+0.4","+0.01","-1.56","-0.31",""
"894",="1531","高林股","21","+0.1","+0.48%","-0.18","+0.41","-0.63","-0.05","-1.12","-0.81","+2.16","+0.03","-1.02","-0.22","-0.42","-0.26","-0.2","+0.11",""
"295",="1532","勤美","28.25","+0.05","+0.18%","-0.18","-2.06","+1.12","-1.69","-1.41","+9.31","-7.36","-1.46","+0.58","+6.5","-6.92","+1.44","-0.2","+0.03",""
"1222",="1533","車王電","40.1","+0.3","+0.75%","+0.05","+0.01","+2.78","-0.81","-2.65","+0.58","-0.12","+1.26","-0.49","+1.32","+0.3","-0.69","-0.87","-0.07",""
"609",="1535","中宇","42.35","+1.25","+3.04%","+0.11","+0.67","+0.72","+0.44","+0.84","+0.32","+0.73","+0.46","+0.61","-0.45","+0.44","-1.39","-2.11","","-0.66"
"946",="1536","和大","134","0","0%","+0.26","+1.39","-0.62","-0.64","-3.2","-5.54","+7.58","+0.55","+0.5","+0.64","+0.76","+1.56","+0.16","+0.02",""
"260",="1537","廣隆","144.5","0","0%","+0.91","+0.04","+0.93","+2.03","-2.88","+4.57","+1.75","-2.92","+3.68","-0.56","+1.07","+1.33","+1.89","","+0.13"
"1271",="1538","正峰新","5.55","-0.04","-0.72%","-0.2","+2.8","-4.65","-3.11","+7.4","-4.45","+0.34","-0.49","-0.25","-1.49","+2.19","-0.01","-0.63","-1.11",""
